channel_id,channel_name,industry_id,pic_id
1,Fashionista,4,4
2,Paid.ly,3,1
3,Brite Bank,1,8
4,Amed Drugstore,4,8
5,Shoppertize,2,8
6,Dollands,3,2
7,ZenGrocery,2,1
8,Retailhut,4,2
9,Galleria,4,2
10,Buyfund,3,1
11,Banks.ly,1,3
12,Wallet Purse,1,7
13,Cashured,3,6
14,Lendena,1,2
15,Store Adviser,4,2
16,Exchangebank.io,1,5
17,Merchwallet,3,1
18,Insurinra,3,1
19,Offeress,3,8
20,Grocer and Drinkers,4,3
21,Deovey,5,8
22,Paypay,3,4
23,Nowbank,1,6
24,Fieque,5,5
25,We Are Open,4,2
26,Reseller,3,7
27,Repayo,2,3
28,Contrade,2,1
29,Zommerce,2,4
30,Vouchis,2,4
31,Merch And Dish,4,1
32,National Trade Bank,1,5
33,The Rancher,4,1
34,Cashance,3,4
35,Buyering,2,1
36,Trevake,6,5
37,The Bookworms,4,8
38,Heywarehouse,4,5
39,Taxays,3,3
40,Annule,3,8
41,Shopkeepr,4,6
42,Dewage,3,6
43,Vouing,5,4
44,Indomarket,4,7
45,Insurebt,3,2
46,Merord,5,7
47,Metro Bank,1,8
48,Kitchine,4,6
49,Retailhook,4,8
50,Swipe Bank,1,8
51,Shopura,4,8
52,Mutiara Bank,1,2
53,Boltcart,2,8
54,Stashmill,4,6
55,Kryptonium,1,3
56,Merchantora,2,4
57,Twenty-Four Seven,4,8
58,Purse Plus,1,3
59,Dinostore,4,1
60,Psyship,2,3
61,Genius,1,7
62,Paymentox,3,7
63,Sure Market,4,2
64,Copaid,3,6
65,Luxury Wares,4,3
66,Paiels,3,4
67,PhasePayment,3,7
68,Cashiva,1,1
69,Valueave,5,2
70,Commerchant,2,1
71,Bank JAR,1,7
72,GoFiners,6,8
73,CartShoppe,2,3
74,Car Go,4,7
75,Reinstock,1,2
76,Merchaant,4,6
77,Coinration,1,2